Curious George,14703405 ,2566 ,58360760 ,2/10/2006
Absolute Power,14678016 ,2568 ,50068310 ,2/14/1997
Hope Springs,14650121 ,2361 ,63536011 ,8/8/2012
Smokin' Aces,14638755 ,2218 ,35787686 ,1/26/2007
Sky High,14631784 ,2905 ,63946815 ,7/29/2005
Diary of a Wimpy Kid: Dog Days,14623599 ,3391 ,49008662 ,8/3/2012
Private Parts,14616333 ,2138 ,41230799 ,3/7/1997
Star Wars: The Clone Wars,14611273 ,3452 ,35161554 ,8/15/2008
Sex Tape,14608152 ,3062 ,38543473 ,7/18/2014
The Number 23,14602867 ,2759 ,35193167 ,2/23/2007
The Thomas Crown Affair,14600719 ,2427 ,69305181 ,8/6/1999
Volcano,14581740 ,2774 ,49323468 ,4/25/1997
Cold Mountain,14574213 ,2163 ,95636509 ,12/25/2003
Parental Guidance,14554053 ,3367 ,77267296 ,12/25/2012
The House Bunny,14533702 ,2714 ,48237389 ,8/22/2008
Crossroads,14527187 ,2380 ,37191304 ,2/15/2002
The Prince of Egypt,14524321 ,3118 ,101413188 ,12/18/1998
Shooter,14523571 ,2806 ,47003582 ,3/23/2007
Windtalkers,14520412 ,2898 ,40914068 ,6/14/2002
Life as We Know It,14506464 ,3150 ,53374681 ,10/8/2010
Nanny McPhee,14503650 ,1995 ,47144110 ,1/27/2006
Next Friday,14465156 ,1103 ,57328603 ,1/12/2000
Speed,14456194 ,2138 ,121248145 ,6/10/1994
Rock of Ages,14437269 ,3470 ,38518613 ,6/15/2012
Sphere,14433957 ,2814 ,37020277 ,2/13/1998
John Wick,14415922 ,2589 ,41699314 ,10/24/2014
Gridiron Gang,14414630 ,3504 ,38432823 ,9/15/2006
Percy Jackson: Sea of Monsters,14401054 ,3031 ,68559554 ,8/7/2013
Fun with Dick and Jane,14383515 ,3056 ,110332737 ,12/21/2005
National Security,14369694 ,2729 ,36381186 ,1/17/2003
The Sentinel,14367854 ,2819 ,36280697 ,4/21/2006
Star Trek II: The Wrath of Khan,14347221 ,1621 ,78912963 ,6/4/1982
The Game,14337029 ,2403 ,48323648 ,9/12/1997
Snow Day,14331819 ,2664 ,60020107 ,2/11/2000
Two Weeks Notice,14328494 ,2755 ,93354851 ,12/20/2002
The Specialist,14317765 ,2522 ,57362582 ,10/7/1994
Green Zone,14309295 ,3003 ,35053660 ,3/12/2010
In Good Company,14289750 ,1566 ,45806659 ,1/14/2005
Blended,14284031 ,3555 ,46294610 ,5/23/2014
Red Dawn (2012),14276668 ,2724 ,44806783 ,11/21/2012
John Tucker Must Die,14276534 ,2560 ,41011711 ,7/28/2006
The Devil's Own,14274503 ,2504 ,42868348 ,3/28/1997
"Honey, I Shrunk the Kids",14262961 ,1371 ,130724172 ,6/23/1989
Are We Done Yet?,14262724 ,2877 ,49662533 ,4/4/2007
Demolition Man,14262432 ,2246 ,58055768 ,10/8/1993
8MM,14252888 ,2370 ,36663315 ,2/26/1999
E.T. (20th Anniversary),14223110 ,3007 ,35306015 ,3/22/2002
Quarantine,14211321 ,2461 ,31691811 ,10/10/2008
Hope Floats,14210464 ,2367 ,60053195 ,5/29/1998
Blue Crush,14169455 ,3002 ,40390647 ,8/16/2002
Scary Movie 5,14157367 ,3402 ,32015787 ,4/12/2013
Robocop 2,14145411 ,1768 ,45681173 ,6/22/1990
The Last House on the Left (2009),14118685 ,2401 ,32752215 ,3/13/2009
Saw VI,14118444 ,3036 ,27693292 ,10/23/2009
Addams Family Values,14117545 ,2577 ,48919043 ,11/19/1993
Anastasia,14104933 ,2140 ,58406347 ,11/21/1997
Superman II,14100523 ,1397 ,108185706 ,6/19/1981
Dreamgirls,14100050 ,852 ,103365956 ,12/25/2006
The Others,14089952 ,1678 ,96522687 ,8/10/2001
ParaNorman,14087050 ,3429 ,56003051 ,8/17/2012
Rocky V,14073170 ,2053 ,40946358 ,11/16/1990
State of Play,14071280 ,2803 ,37017955 ,4/17/2009
Unfaithful,14065277 ,2617 ,52775765 ,5/10/2002
Agent Cody Banks,14064317 ,3369 ,47938330 ,3/14/2003
Open Range,14047781 ,2075 ,58331254 ,8/15/2003
Small Soldiers,14047592 ,2539 ,54682547 ,7/10/1998
Miss Congeniality 2: Armed and Fabulous,14043215 ,3233 ,48478006 ,3/24/2005
3:10 to Yuma (2007),14035033 ,2652 ,53606916 ,9/7/2007
The Family (2013),14034764 ,3091 ,36918811 ,9/13/2013
Domestic Disturbance,14033112 ,2910 ,45246095 ,11/2/2001
The Heartbreak Kid,14022105 ,3229 ,36787257 ,10/5/2007
Hot Tub Time Machine,14020502 ,2754 ,50287556 ,3/26/2010
Tooth Fairy,14010409 ,3344 ,60022256 ,1/22/2010
Enough,14009653 ,2623 ,40007742 ,5/24/2002
High Crimes,14005550 ,2717 ,41543917 ,4/5/2002
Red Riding Hood,14005335 ,3030 ,37662162 ,3/11/2011
Duplicity,13965110 ,2574 ,40572825 ,3/20/2009
Seven,13949807 ,2441 ,100125643 ,9/22/1995
Something Borrowed,13945368 ,2904 ,39046489 ,5/6/2011
The Siege,13931285 ,2541 ,40981289 ,11/6/1998
Racing Stripes,13920052 ,3185 ,49772522 ,1/14/2005
The Love Guru,13907130 ,3012 ,32235793 ,6/20/2008
Home on the Range,13880771 ,3047 ,50030461 ,4/2/2004
"Dude, Where's My Car?",13845914 ,2087 ,46729800 ,12/15/2000
12 Monkeys,13842990 ,1533 ,57141459 ,1/5/1996
The Punisher,13834527 ,2649 ,33810189 ,4/16/2004
Jimmy Neutron: Boy Genius,13832786 ,3139 ,80936232 ,12/21/2001
Big Fish,13811191 ,2406 ,66809693 ,1/9/2004
Enemy at the Gates,13810266 ,1509 ,51401758 ,3/16/2001
Snakes on a Plane,13806311 ,3555 ,34020814 ,8/18/2006
Sleeping with the Enemy,13777943 ,1406 ,101599005 ,2/8/1991
Three Men and a Little Lady,13774642 ,1281 ,71609321 ,11/21/1990
There's Something About Mary,13740644 ,2186 ,176484651 ,7/15/1998
A League of Their Own,13739456 ,1782 ,107533928 ,7/1/1992
The Whole Nine Yards,13731070 ,2910 ,57262492 ,2/18/2000
Moulin Rouge!,13718306 ,2279 ,57386607 ,6/1/2001
Alexander,13687087 ,2445 ,34297191 ,11/24/2004
The Horse Whisperer,13685488 ,2039 ,75383563 ,5/15/1998
Good Luck Chuck,13652001 ,2612 ,35017297 ,9/21/2007
Boomerang,13640706 ,2127 ,70052444 ,7/1/1992
Firewall,13635463 ,2840 ,48751189 ,2/10/2006
Music and Lyrics,13623630 ,2955 ,50572589 ,2/14/2007
A Cinderella Story,13623350 ,2625 ,51438175 ,7/16/2004
The Lake House,13616196 ,2645 ,52330111 ,6/16/2006
College Road Trip,13601419 ,2706 ,45610425 ,3/7/2008
Glory Road,13594734 ,2222 ,42647449 ,1/13/2006
Get On Up,13585915 ,2468 ,30703100 ,8/1/2014
Any Given Sunday,13584625 ,2505 ,75530832 ,12/22/1999
Ghostbusters,13578151 ,1339 ,229242989 ,6/8/1984
Hanging Up,13567978 ,2618 ,36050230 ,2/18/2000
Letters to Juliet,13540486 ,2968 ,53032453 ,5/14/2010
Hall Pass,13535374 ,2950 ,45060734 ,2/25/2011
The Change-Up,13531115 ,2913 ,37081475 ,8/5/2011
Without a Paddle,13528946 ,2730 ,58169327 ,8/20/2004
Hook,13522535 ,2197 ,119654823 ,12/11/1991
Wayne's World 2,13516699 ,2400 ,48197805 ,12/10/1993
Forces of Nature,13510728 ,2058 ,52888180 ,3/19/1999
Cop Land,13510482 ,2233 ,44862187 ,8/15/1997
The Wedding Planner,13510293 ,2785 ,60400856 ,1/26/2001
Head of State,13503484 ,2151 ,38125247 ,3/28/2003
The Hunted,13482638 ,2516 ,34244097 ,3/14/2003
The Brave One,13471488 ,2755 ,36793804 ,9/14/2007
The Notebook,13464745 ,2303 ,81001787 ,6/25/2004
Paycheck,13462374 ,2762 ,53790451 ,12/25/2003
That's My Boy,13453714 ,3030 ,36931089 ,6/15/2012
Zathura,13427872 ,3223 ,29258869 ,11/11/2005
Jaws 3-D,13422500 ,1300 ,45517055 ,7/22/1983
Outbreak,13420387 ,2215 ,67659560 ,3/10/1995
Nights in Rodanthe,13418454 ,2704 ,41850659 ,9/26/2008
Stranger Than Fiction,13411093 ,2264 ,40660952 ,11/10/2006
Evolution,13408351 ,2611 ,38345494 ,6/8/2001
Zodiac,13395610 ,2362 ,33080084 ,3/2/2007
Superman III,13352357 ,1759 ,59950623 ,6/17/1983
Brooklyn's Finest,13350299 ,1936 ,27163593 ,3/5/2010
Men of Honor,13339465 ,2092 ,48818921 ,11/10/2000
Kick-Ass 2,13332955 ,2940 ,28795985 ,8/16/2013
30 Minutes or Less,13330118 ,2888 ,37053924 ,8/12/2011
Jersey Boys,13319371 ,2905 ,47047013 ,6/20/2014
Ninja Assassin,13316158 ,2503 ,38122883 ,11/25/2009
Serendipity,13309241 ,2601 ,50294317 ,10/5/2001
Endless Love (2014),13307125 ,2896 ,23438250 ,2/14/2014
Kiss of the Dragon,13304027 ,2025 ,36845124 ,7/6/2001
Radio,13303724 ,3074 ,52333738 ,10/24/2003
Insidious,13271464 ,2408 ,54009150 ,4/1/2011
Stealth,13251545 ,3495 ,32116746 ,7/29/2005
Book of Shadows: Blair Witch 2,13223887 ,3317 ,26437094 ,10/27/2000
The Naked Gun 33 1/3: The Final Insult,13216531 ,2361 ,51132598 ,3/18/1994
Kiss the Girls,13215167 ,2271 ,60527873 ,10/3/1997
Nim's Island,13210579 ,3513 ,48006762 ,4/4/2008
The Lincoln Lawyer,13206453 ,2707 ,58009200 ,3/18/2011
Hitman,13180769 ,2458 ,39687694 ,11/21/2007
The American,13177790 ,2823 ,35606376 ,9/1/2010
Snitch,13167607 ,2511 ,42930462 ,2/22/2013
End of Watch,13152683 ,2730 ,41003371 ,9/21/2012
Because I Said So,13122865 ,2526 ,42674040 ,2/2/2007
The Judge,13116226 ,3003 ,46132954 ,10/10/2014
Good Boy!,13107022 ,3225 ,37667746 ,10/10/2003
Bedazzled (2000),13106526 ,2568 ,37886980 ,10/20/2000
Jeepers Creepers,13106108 ,2944 ,37904175 ,8/31/2001
Mighty Morphin' Power Rangers,13104788 ,2409 ,38187431 ,6/30/1995
Practical Magic,13104694 ,2652 ,46683377 ,10/16/1998
Larry Crowne,13096065 ,2973 ,35608245 ,7/1/2011
Matchstick Men,13087307 ,2711 ,36906460 ,9/12/2003
Hannibal Rising,13051650 ,3003 ,27670986 ,2/9/2007
Bandits,13050700 ,3207 ,41575141 ,10/12/2001
What's the Worst That Could Happen?,13049114 ,2675 ,32269834 ,6/1/2001
Paul,13043310 ,2802 ,37412945 ,3/18/2011
For Love of the Game,13041685 ,2829 ,35188640 ,9/17/1999
Rambo III,13034238 ,2562 ,53715611 ,5/25/1988
City Slickers,13032121 ,1992 ,124033791 ,6/7/1991
Scrooged,13027842 ,1262 ,60328558 ,11/23/1988
The 6th Day,13020883 ,2516 ,34604280 ,11/17/2000
Cruel Intentions,13020565 ,2312 ,38328567 ,3/5/1999
New Year's Eve,13019180 ,3505 ,54544638 ,12/9/2011
Random Hearts,13012585 ,2697 ,31502583 ,10/8/1999
Friday After Next,13010767 ,1616 ,33253609 ,11/22/2002
Freddy's Dead: The Final Nightmare,12966525 ,1862 ,34872033 ,9/13/1991
A Very Harold & Kumar 3D Christmas,12954142 ,2875 ,35061031 ,11/4/2011
Body of Lies,12884416 ,2710 ,39394666 ,10/10/2008
Orphan,12871483 ,2750 ,41596251 ,7/24/2009
Honey,12856040 ,1942 ,30308417 ,12/5/2003
Must Love Dogs,12855321 ,2505 ,43894863 ,7/29/2005
The Road to El Dorado,12846652 ,3218 ,50863742 ,3/31/2000
A Nightmare on Elm Street 4: The Dream Master,12833403 ,1765 ,49369899 ,8/19/1988
Anacondas: The Hunt for the Blood Orchid,12812287 ,2905 ,32238923 ,8/27/2004
Jungle 2 Jungle,12812047 ,2316 ,59927618 ,3/7/1997
Last Holiday,12806188 ,2514 ,38399961 ,1/13/2006
Elektra,12804793 ,3204 ,24409722 ,1/14/2005
Beauty Shop,12801465 ,2659 ,36351350 ,3/30/2005
The Holiday,12778913 ,2610 ,63224849 ,12/8/2006
K-19: The Widowmaker,12778459 ,2828 ,35168966 ,7/19/2002
The Girl with the Dragon Tattoo (2011),12768604 ,2914 ,102515793 ,12/21/2011
The Secret Life of Walter Mitty,12765508 ,2909 ,58236838 ,12/25/2013
A Walk Among the Tombstones,12758780 ,2712 ,26307600 ,9/19/2014
I Spy,12752803 ,3182 ,33561137 ,11/1/2002
The Watch,12750297 ,3168 ,35353000 ,7/27/2012
The Talented Mr. Ripley,12738237 ,2307 ,81298265 ,12/25/1999
Bean,12733827 ,1948 ,45319423 ,11/7/1997
XXX: State of the Union,12712272 ,3480 ,26873932 ,4/29/2005
Herbie: Fully Loaded,12709221 ,3521 ,66023816 ,6/22/2005
The Men Who Stare at Goats,12706654 ,2443 ,32428195 ,11/6/2009
Grease (Re-issue),12705463 ,2064 ,28411018 ,3/27/1998
Get Shorty,12700007 ,1612 ,72101622 ,10/20/1995
Ronin,12697641 ,2487 ,41616262 ,9/25/1998
Secretariat,12694770 ,3072 ,59713955 ,10/8/2010
R.I.P.D.,12691415 ,2852 ,33618855 ,7/19/2013
Disney's The Kid,12687726 ,2167 ,69691949 ,7/7/2000
Backdraft,12686200 ,1852 ,77868585 ,5/24/1991
Leatherheads,12682595 ,2769 ,31373938 ,4/4/2008
Aeon Flux,12661112 ,2608 ,25874337 ,12/2/2005
Cobra,12653032 ,2131 ,49042224 ,5/23/1986
The Karate Kid Part II,12652336 ,1323 ,115103979 ,6/20/1986
The Ladykillers,12634563 ,1583 ,39799191 ,3/26/2004
Under Siege 2: Dark Territory,12624402 ,2150 ,50024083 ,7/14/1995
Death Race,12621090 ,2532 ,36316032 ,8/22/2008
Malibu's Most Wanted,12618159 ,2503 ,34432201 ,4/18/2003
Not Another Teen Movie,12615116 ,2365 ,38252284 ,12/14/2001
As Good as It Gets,12606928 ,1572 ,148478011 ,12/25/1997
Drumline,12604705 ,1836 ,56399184 ,12/13/2002
The Adventures of Sharkboy and Lavagirl in 3D,12582088 ,2655 ,39177684 ,6/10/2005
The Master of Disguise,12554650 ,2565 ,40388794 ,8/2/2002
Intolerable Cruelty,12525075 ,2564 ,35327628 ,10/10/2003
Nine Months,12522240 ,1458 ,69684532 ,7/14/1995
The Family Stone,12521027 ,2466 ,60062868 ,12/16/2005
The Good Son,12520305 ,1847 ,44789789 ,9/24/1993
Groundhog Day,12517672 ,1640 ,70906973 ,2/12/1993
Gremlins,12511634 ,1511 ,148168459 ,6/8/1984
One Missed Call,12511473 ,2240 ,26890041 ,1/4/2008
Jonas Brothers: The 3D Concert Experience,12510374 ,1271 ,19162740 ,2/27/2009
Courage Under Fire,12501586 ,1986 ,59031057 ,7/12/1996
Toy Story / Toy Story 2 (3D),12491789 ,1745 ,30702446 ,10/2/2009
Street Kings,12469631 ,2467 ,26418667 ,4/11/2008
Blow,12443461 ,2249 ,52990775 ,4/6/2001
My Sister's Keeper,12442212 ,2606 ,49200230 ,6/26/2009
Rocky III,12431486 ,939 ,124146897 ,5/28/1982
Beverly Hills Cop III,12426169 ,2748 ,42614912 ,5/25/1994
The Eye,12425776 ,2436 ,31418697 ,2/1/2008
Teenage Mutant Ninja Turtles III,12419597 ,2087 ,42273609 ,3/19/1993
The Island,12409070 ,3122 ,35818913 ,7/22/2005
Hoodwinked,12401900 ,2394 ,51386611 ,1/13/2006
Fever Pitch,12400125 ,3267 ,42071069 ,4/8/2005
My Girl,12391783 ,2080 ,59489799 ,11/27/1991
Mo' Money,12385415 ,1689 ,40227006 ,7/24/1992
Charlie St. Cloud,12381585 ,2718 ,31162545 ,7/30/2010
Hanna,12370549 ,2535 ,40259119 ,4/8/2011
When in Rome,12350041 ,2456 ,32680633 ,1/29/2010
European Vacation,12329627 ,1546 ,49364621 ,7/26/1985
Striptease,12322069 ,1970 ,33109743 ,6/28/1996
The Peacemaker,12311939 ,2362 ,41263140 ,9/26/1997
Breakdown,12307128 ,2108 ,50159144 ,5/2/1997
Sleepers,12305745 ,1915 ,53315285 ,10/18/1996
The Giver,12305016 ,3003 ,45084228 ,8/15/2014
Man of the Year,12299380 ,2515 ,37327390 ,10/13/2006
Bad Santa,12292952 ,2005 ,60060328 ,11/26/2003
Halloween: Resurrection,12292121 ,1954 ,30354442 ,7/12/2002
Judge Dredd,12291536 ,2204 ,34693481 ,6/30/1995
Devil,12289375 ,2809 ,33601190 ,9/17/2010
House at the End of The Street,12287234 ,3083 ,31611916 ,9/21/2012
Planet 51,12286129 ,3035 ,42194060 ,11/20/2009
Cats & Dogs: The Revenge of Kitty Galore,12279363 ,3705 ,43585753 ,7/30/2010
Million Dollar Baby,12265482 ,2010 ,100492203 ,1/28/2005
3 Days to Kill,12242218 ,2872 ,30697999 ,2/21/2014
The Fourth Kind,12231160 ,2527 ,25486040 ,11/6/2009
40 Days and 40 Nights,12229529 ,2225 ,37950822 ,3/1/2002
Deuce Bigalow: Male Gigolo,12224016 ,2154 ,65538755 ,12/10/1999
